Crime_ID,City,Date,Time,Crime_Type,Location,Latitude,Longitude,Crime_Severity,Police_Response_Time_Minutes,Resolved,Suspect_Arrested,Ride_ID,Ride_Date,Ride_Time,Pickup_Location,Drop_Location,Ride_Duration_Minutes,Distance_KM,Ride_Fare_INR,Ride_Surge_Pricing_Factor,Driver_Rating,Ride_Cancellation_Status,Weather_Temperature_C,Weather_Rainfall_mm,Weather_Visibility_KM,Weather_Humidity_%,Weather_Wind_Speed_KMH,Weather_Condition,Traffic_Congestion_Level,Traffic_Avg_Speed_KMH,Road_Accidents_Reported,Nearby_CCTV_Cameras,Uber_Ola_Route_Overlap,Public_Complaints,Time_of_Day,Passenger_Gender,Num_Police_Stations_Nearby
1,Delhi,24-01-2023,10:14,Harassment,Juhu,24.33491513,74.10421396,1,2,1,1,66156,09-11-2024,11:12,Karol Bagh,Lajpat Nagar,97,15.39717738,275.0697313,2,2.1,Cancelled,31.96027773,10,3.283636133,69,37,Rainy,8,48.08278303,4,8,1,3,Night,Female,4
2,Mumbai,08-04-2024,02:39,Burglary,Saket,22.36134105,73.30054627,8,54,1,0,35848,15-11-2023,14:35,Bandra,Dwarka,105,13.97246606,1008.617851,1.2,2.1,Completed,34.39383383,0,1.476427623,67,6,Foggy,9,39.31929424,2,6,1,5,Morning,Male,4
3,Delhi,04-12-2023,09:46,Fraud,Bandra,24.69402829,75.51308425,10,12,1,1,77315,13-03-2023,21:17,Lajpat Nagar,Juhu,6,10.07333679,638.7464927,1,1.3,Completed,30.66142937,5,5.489575653,64,24,Cloudy,3,44.65482182,2,3,1,0,Morning,Male,2
4,Delhi,14-10-2023,22:38,Harassment,Lajpat Nagar,23.20153821,74.08857329,3,40,0,1,60852,20-03-2024,05:03,Bandra,Connaught Place,52,5.58510182,1000.684402,1.5,1.5,Completed,41.60509248,20,3.771492468,98,49,Foggy,3,8.001501982,2,7,0,3,Morning,Female,2
5,Delhi,03-01-2023,14:37,Theft,Dwarka,25.20731171,75.94435824,4,2,0,1,58548,13-02-2024,21:57,Saket,Saket,5,7.32959115,1144.446359,1.5,1.9,Completed,32.91725666,5,5.851537584,85,26,Rainy,5,50.07334744,0,0,1,5,Night,Male,1
6,Mumbai,17-04-2023,13:40,Burglary,Connaught Place,20.25986155,72.09388391,4,41,1,1,67151,14-12-2024,11:22,Bandra,Connaught Place,63,2.014779623,865.8954076,2,1,Completed,24.85501772,20,4.280467819,64,39,Foggy,2,18.22099047,3,2,0,9,Afternoon,Female,3
7,Delhi,07-09-2023,19:21,Fraud,Saket,29.96689553,72.3862493,5,16,1,0,20426,24-04-2023,21:41,Saket,Andheri,36,26.34380614,981.5939599,1,1.2,Completed,39.59554854,30,4.102349696,89,30,Cloudy,8,10.04936102,3,6,1,6,Afternoon,Female,3
8,Delhi,15-04-2024,17:24,Theft,Connaught Place,23.68111465,72.59796692,3,30,0,1,22536,24-06-2023,11:46,Colaba,Lajpat Nagar,92,23.41883506,359.6155005,1.2,3.8,Completed,27.13487992,20,9.163824624,38,7,Sunny,5,41.35750721,2,1,0,9,Evening,Other,1
9,Delhi,25-01-2024,15:59,Theft,Bandra,22.83053704,74.51396211,9,57,1,1,86887,07-03-2024,10:48,Bandra,Andheri,6,8.123108007,909.4143543,1.5,3.5,Completed,28.55571459,20,6.841584583,53,45,Sunny,5,16.98922076,2,7,1,4,Morning,Other,4
10,Mumbai,14-12-2023,17:00,Theft,Juhu,26.81230833,76.88877704,4,47,1,1,74556,20-04-2023,07:43,Dadar,Colaba,63,2.066922537,717.6877188,1,4.8,Completed,30.37978264,30,6.862208461,56,25,Sunny,6,27.35791271,2,3,0,2,Morning,Female,2
11,Delhi,05-05-2024,10:21,Theft,Saket,23.00289347,77.32906746,10,46,1,0,79519,09-05-2024,10:17,Colaba,Bandra,7,15.77925654,670.6766464,1.5,2.6,Completed,21.29746405,10,1.770345875,78,33,Sunny,8,43.93514013,2,3,1,8,Afternoon,Female,1
12,Delhi,04-06-2023,10:22,Harassment,Karol Bagh,28.16601736,73.46886444,4,52,1,1,90117,17-09-2023,09:59,Dadar,Saket,77,13.55204958,,1.5,2.8,Completed,35.28889414,20,4.201810667,65,5,Cloudy,8,10.64621106,3,2,1,9,Morning,Female,4
13,Delhi,04-07-2023,14:09,Harassment,Juhu,23.99697797,75.44621835,6,36,1,0,58030,16-07-2023,01:28,Saket,Saket,53,23.7281854,500.8398406,1.5,1.3,Completed,13.43441655,30,7.746292198,82,25,Sunny,8,12.02538719,4,9,0,7,Night,Female,0
14,Delhi,20-06-2024,14:54,Harassment,Colaba,26.91514255,76.61018996,8,4,0,1,91306,24-09-2023,16:45,Saket,Colaba,92,13.28107419,492.7352605,1.2,1.6,Completed,40.40972206,20,5.886008567,98,9,Cloudy,1,41.56946908,3,7,1,9,Morning,Male,1
15,Mumbai,24-01-2024,23:31,Fraud,Lajpat Nagar,20.18198538,73.73297658,,11,1,1,17385,20-01-2024,18:43,Andheri,Lajpat Nagar,80,26.19515861,1064.574321,1.2,3.8,Completed,36.40882133,5,4.873451911,21,47,Rainy,1,29.72909509,2,5,0,0,Night,Female,1
16,Delhi,04-09-2024,06:34,Fraud,Dwarka,28.30731104,74.45404642,4,53,1,1,66746,22-01-2023,13:29,Bandra,Dadar,38,4.683470414,858.809646,1.5,1.9,Completed,22.37711307,30,9.7412172,57,7,Cloudy,1,17.16630113,1,8,1,1,Evening,Male,4
17,Mumbai,18-02-2024,22:10,Fraud,Juhu,27.09289785,75.14384522,4,24,1,1,32542,23-10-2023,14:44,Connaught Place,Bandra,66,12.24402642,93.43055568,1.2,4.1,Completed,17.92375868,0,1.79550394,91,30,Cloudy,8,33.36841548,4,7,1,1,Evening,Male,0
18,Mumbai,20-11-2024,21:24,Assault,Connaught Place,21.32888456,72.80924908,5,18,0,1,30223,27-09-2023,16:55,Andheri,Lajpat Nagar,38,28.15034516,120.3615836,1,3.8,Cancelled,23.57642809,20,2.027234865,79,48,Rainy,4,39.02440643,1,9,1,8,Afternoon,Female,2
19,Mumbai,07-10-2024,08:25,Fraud,Juhu,20.59814611,72.15589376,10,27,1,1,45504,03-04-2024,16:34,Andheri,Bandra,27,2.328429425,876.6725515,1,4,Completed,38.17684021,20,5.850846688,94,32,Foggy,3,27.27879503,0,3,1,5,Afternoon,Female,1
20,Delhi,22-01-2023,01:42,Harassment,Lajpat Nagar,22.47921584,72.91683486,5,37,1,1,62558,22-04-2023,18:59,Andheri,Bandra,23,12.94210387,,1.5,3.8,Completed,11.10497776,5,4.349186735,48,40,Sunny,2,14.51136617,2,7,0,8,Morning,Male,1
21,Mumbai,03-05-2023,18:05,Harassment,Juhu,29.73677645,75.76112173,1,2,1,0,94694,13-07-2023,05:41,Bandra,Dwarka,56,9.271691282,113.7678263,2,3.8,Completed,26.37734899,5,5.066495051,79,39,Cloudy,9,40.61341677,1,8,0,7,Evening,Female,1
22,Delhi,13-02-2023,20:31,Assault,Dadar,21.82514732,72.44170957,,15,0,0,63784,11-02-2023,22:57,Dwarka,Bandra,64,16.89210023,785.4500545,1,3.2,Completed,18.89385745,0,5.704806866,88,49,Rainy,4,11.66638435,2,5,0,5,Evening,Male,2
23,Mumbai,21-08-2024,17:22,Assault,Saket,24.0173993,73.13817819,10,11,1,1,35067,11-09-2024,23:08,Dadar,Connaught Place,100,9.805470408,1284.146294,1.2,3.7,Completed,40.623299,30,1.710966666,56,25,Foggy,8,40.94444196,2,5,1,5,Morning,Male,2
24,Mumbai,12-03-2024,02:13,Fraud,Andheri,19.33022248,74.02712331,5,27,0,1,20051,06-06-2023,03:48,Saket,Connaught Place,117,26.35742527,56.44956824,1.2,3.1,Completed,24.48445509,0,3.066152104,31,27,Cloudy,1,19.89617123,0,9,1,5,Evening,Other,0
25,Mumbai,22-04-2024,23:33,Burglary,Connaught Place,23.36950283,72.46722039,3,56,1,1,53299,06-04-2024,01:47,Saket,Colaba,32,28.23987108,449.901166,1,1.8,Completed,34.42644148,0,5.602979744,99,6,Rainy,1,5.076725489,4,8,0,4,Evening,Female,0
26,Mumbai,22-12-2024,11:19,Assault,Saket,25.28452017,73.15019563,3,49,1,1,35167,20-02-2023,01:29,Connaught Place,Dadar,94,25.77576032,13838.84317,2,1.9,Completed,22.52623716,10,2.33876457,56,9,Sunny,6,30.61937947,2,9,1,0,Afternoon,Male,3
27,Mumbai,21-10-2023,09:48,Theft,Dwarka,29.48437074,77.46761873,4,48,1,0,45502,10-01-2024,04:43,Karol Bagh,Karol Bagh,53,13.15989967,168.1309539,1.5,2.6,Completed,21.53948839,0,8.476101515,77,7,Sunny,9,22.0486346,4,8,1,5,Evening,Female,3
28,Mumbai,24-09-2023,10:28,Harassment,Dwarka,24.68409649,72.11579479,,47,1,1,66039,22-11-2024,21:00,Colaba,Juhu,49,29.71814544,930.1448924,1,1.1,Completed,21.4055506,20,7.943134717,74,13,Foggy,1,17.61746762,3,3,1,0,Afternoon,Other,2
29,Mumbai,15-03-2023,21:29,Theft,Bandra,28.01018059,75.92059155,5,23,1,0,77028,01-03-2023,08:01,Lajpat Nagar,Connaught Place,80,22.58101687,785.7034166,1.2,4.6,Completed,33.73611139,0,5.897616988,40,45,Rainy,5,32.41713597,0,5,1,7,Morning,Female,1
30,Mumbai,21-05-2024,00:09,Harassment,Connaught Place,25.01840407,74.30645359,1,35,1,1,10682,20-04-2024,19:19,Dadar,Andheri,111,11.95705023,269.9350766,2,2.1,Completed,43.74843128,5,5.201805862,27,26,Foggy,9,23.5147368,3,4,0,6,Afternoon,Male,2
31,Delhi,11-11-2023,19:37,Harassment,Lajpat Nagar,19.44863515,76.03589244,5,52,0,1,35204,01-11-2024,15:48,Bandra,Dwarka,99,4.623398994,111.6061645,1.5,1.2,Completed,17.28506639,5,9.330804068,40,24,Foggy,8,21.22608704,0,4,0,3,Evening,Female,3
32,Delhi,27-04-2023,05:39,Assault,Karol Bagh,22.46509103,75.53215032,5,30,0,1,73159,09-08-2024,02:07,Saket,Juhu,64,20.67729966,778.7512975,1.2,2.7,Cancelled,32.53654321,20,7.647203287,86,45,Sunny,8,46.94191651,1,8,0,6,Morning,Other,3
33,Mumbai,13-06-2023,11:36,Assault,Saket,25.33104459,73.34099253,6,47,1,0,30866,09-12-2024,05:18,Dwarka,Karol Bagh,79,22.39988844,1115.938774,1.5,4.3,Cancelled,19.29020514,10,0.862224318,78,40,Sunny,9,9.566385949,1,7,1,6,Evening,Male,4
34,Mumbai,07-02-2024,13:26,Theft,Juhu,29.45653363,77.08325693,7,24,1,1,56662,24-08-2024,12:06,Colaba,Colaba,60,5.428855721,307.0020271,1.5,2.6,Completed,29.22725183,0,2.622137038,66,8,Cloudy,7,26.88276409,2,3,1,6,Evening,Female,3
35,Mumbai,21-04-2024,00:48,Harassment,Dwarka,28.45043396,74.9516423,5,19,0,1,31131,22-09-2023,22:28,Colaba,Juhu,108,17.39261785,1052.413752,2,2.1,Completed,28.95595977,30,1.193329486,51,38,Foggy,9,18.57602608,4,0,0,3,Night,Other,0
36,Delhi,21-07-2024,09:35,Theft,Andheri,21.51191176,76.93521611,2,29,1,1,61392,07-11-2023,11:42,Lajpat Nagar,Lajpat Nagar,118,29.63846355,842.255802,1.5,3.2,Completed,25.75161068,5,9.949504691,77,36,Sunny,8,20.6944555,4,1,0,8,Afternoon,Other,4
37,Mumbai,09-03-2024,23:31,Burglary,Bandra,21.42120813,74.43607522,2,13,1,1,54714,25-08-2023,15:34,Saket,Lajpat Nagar,8,11.13477887,568.8773171,1.2,3.3,Completed,27.45254516,20,4.510813598,45,19,Cloudy,6,29.3020526,4,2,1,4,Morning,Male,4
38,Delhi,24-04-2023,07:24,Theft,Juhu,21.21290264,77.90811332,4,48,1,0,11093,13-05-2023,22:00,Juhu,Juhu,22,10.45306063,1013.42422,1.5,4,Completed,40.80809019,30,1.774866492,32,19,Sunny,5,55.74671768,4,6,1,1,Afternoon,Male,1
39,Delhi,19-12-2024,17:08,Fraud,Saket,29.14748786,76.62293615,1,23,0,1,89021,19-10-2023,08:06,Saket,Bandra,33,27.29246065,328.3663275,1.5,4.2,Completed,13.10115838,0,3.9026158,34,21,Rainy,3,41.25638841,0,5,0,6,Afternoon,Female,3
